workorder_id,unit,vendor,work_type,response_time,quality,cost,date
1001,A101,Arctic HVAC,hvac,2,5,250,2024-01-10
1002,B202,QuickFix Plumbing,plumbing,1,4,175,2024-01-15
1003,C303,Spark Electric,electrical,3,3,300,2024-01-18
1004,D404,Arctic HVAC,hvac,4,5,275,2024-02-01
1005,E505,Pipe Pros,plumbing,2,5,180,2024-02-14
1006,F606,Volt Masters,electrical,3,2,320,2024-03-03
1007,G707,CoolTech HVAC,hvac,1,4,290,2024-03-05
1008,H808,DrainMaster,plumbing,2,3,195,2024-03-08
1009,A202,PowerPro Electric,electrical,1,5,280,2024-03-10
1010,B303,Arctic HVAC,hvac,2,5,260,2024-03-12
1011,C404,Pipe Pros,plumbing,3,4,170,2024-03-15
1012,D505,Spark Electric,electrical,2,4,310,2024-03-18
1013,E606,CoolTech HVAC,hvac,3,3,285,2024-03-20
1014,F707,QuickFix Plumbing,plumbing,1,5,185,2024-03-22
1015,G808,PowerPro Electric,electrical,2,4,295,2024-03-25
1016,H101,Arctic HVAC,hvac,1,5,255,2024-03-28
1017,A303,DrainMaster,plumbing,4,2,190,2024-04-01
1018,B404,Volt Masters,electrical,3,3,315,2024-04-03
1019,C505,CoolTech HVAC,hvac,2,4,270,2024-04-05
1020,D606,Pipe Pros,plumbing,1,5,175,2024-04-08 
